date,zone,ema_bias,opt,atm,strike,strike_type,entry_time,target_pct,sl_param,sl_type,ep,xp,exit_reason,pnl,iv_proxy,prev_body,dte
2023-02-01,r1_to_r2,bear,PE,17800,17800,ATM,09:20:02,0.5,2.0,pct,149.75,74.6,target,5636.25,0.841,0.301,1
2023-02-03,r1_to_r2,bear,PE,17700,17700,ATM,09:20:02,0.5,2.0,pct,130.25,64.5,target,4931.25,0.735,0.291,6
2023-02-06,tc_to_pdh,bear,PE,17800,17750,OTM1,09:31:02,0.5,25.0,spot,106.25,95.1,eod,836.25,0.596,0.621,3
2023-02-20,tc_to_pdh,bull,PE,17950,18000,ITM1,09:25:02,0.2,75.0,spot,102.0,81.5,target,1537.5,0.568,0.2,3
2023-02-21,tc_to_pdh,bull,PE,17900,17950,ITM1,09:25:02,0.2,75.0,spot,120.8,96.5,target,1822.5,0.675,0.664,2
2023-02-24,tc_to_pdh,bear,PE,17600,17550,OTM1,09:31:02,0.5,25.0,spot,95.0,139.2,eod,-3315.0,0.54,0.351,6
2023-03-10,s1_to_s2,bear,CE,17450,17450,ATM,09:16:02,0.5,2.0,pct,98.8,99.15,lockin_sl,-26.25,0.566,0.995,6
2023-03-24,tc_to_pdh,bear,PE,17100,17050,OTM1,09:31:02,0.5,25.0,spot,134.0,107.2,lockin_sl,2010.0,0.784,0.201,5
2023-03-31,r1_to_r2,bear,PE,17200,17200,ATM,09:20:02,0.5,2.0,pct,82.85,51.8,eod,2328.75,0.481,0.768,6
2023-04-03,r1_to_r2,bull,PE,17450,17400,OTM1,09:16:02,0.5,1.0,pct,99.45,63.8,eod,2673.75,0.571,0.803,3
2023-04-10,tc_to_pdh,bull,PE,17650,17700,ITM1,09:25:02,0.2,75.0,spot,121.75,96.6,target,1886.25,0.69,0.368,3
2023-04-18,tc_to_pdh,bull,PE,17750,17800,ITM1,09:25:02,0.2,75.0,spot,99.8,139.1,eod,-2947.5,0.562,0.191,2
2023-04-21,tc_to_pdh,bull,PE,17650,17700,ITM1,09:25:02,0.2,75.0,spot,97.1,153.8,spot_sl,-4252.5,0.55,0.147,6
2023-05-12,pdl_to_bc,bull,PE,18300,18250,OTM1,09:31:02,0.2,1.5,pct,109.25,86.95,target,1672.5,0.598,0.452,6
2023-05-15,tc_to_pdh,bull,PE,18300,18350,ITM1,09:25:02,0.2,75.0,spot,86.7,69.3,target,1305.0,0.473,0.186,3
